minutes;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
15;336390;338646;339246;340674;342108;343536;344970;346410;347850;349296;350748;352206;353670;355146;356628;358116;359622;361134;362658;364194;365748;367314;368898;370494;372114;373752;375408;377088;378792;380514;382266;384048;385854;387690;389556;391458;393390;395364;397374;399426;401520;403656;405846;408078;410364;412710;415110;417570;420096;422688;425352;428088;430902;433800;436788;439866;443034;446310;449694;453186;456798;460530;464394;468396;472542;476838;481290
16;337218;339468;340074;341502;342930;344364;345798;347232;348672;350118;351570;353028;354492;355962;357444;358932;360432;361944;363462;364998;366552;368118;369696;371292;372912;374544;376200;377874;379572;381294;383046;384822;386622;388452;390318;392214;394146;396114;398118;400164;402252;404388;406566;408798;411078;413412;415806;418260;420780;423360;426018;428748;431550;434442;437418;440484;443646;446904;450276;453756;457350;461070;464922;468906;473034;477318;481752
17;338040;340296;340896;342324;343758;345186;346620;348054;349494;350940;352386;353844;355308;356778;358254;359742;361242;362754;364272;365808;367356;368916;370494;372090;373704;375336;376986;378660;380358;382074;383820;385590;387390;389220;391080;392970;394902;396864;398862;400902;402990;405114;407292;409512;411786;414114;416502;418950;421458;424038;426684;429402;432198;435078;438042;441102;444252;447498;450858;454326;457908;461616;465450;469422;473532;477792;482214
18;338868;341124;341724;343152;344580;346008;347442;348876;350316;351756;353208;354660;356124;357594;359070;360558;362052;363558;365082;366612;368160;369720;371292;372888;374496;376128;377778;379446;381138;382854;384600;386364;388164;389988;391842;393732;395652;397608;399606;401640;403722;405840;408012;410226;412500;414822;417198;419640;422142;424710;427350;430056;432846;435714;438672;441714;444858;448098;451440;454896;458466;462156;465978;469932;474030;478272;482676
19;339696;341952;342552;343974;345402;346836;348264;349698;351138;352578;354024;355482;356940;358410;359886;361368;362862;364368;365886;367416;368958;370518;372096;373686;375294;376920;378564;380232;381924;383634;385374;387138;388932;390750;392604;394488;396402;398358;400350;402378;404454;406572;408732;410946;413208;415524;417894;420330;422820;425382;428010;430716;433494;436356;439296;442332;445464;448692;452022;455460;459018;462696;466506;470442;474522;478752;483138
20;340524;342774;343374;344802;346230;347658;349086;350520;351960;353400;354846;356298;357756;359220;360696;362178;363672;365178;366696;368220;369762;371322;372894;374478;376086;377712;379350;381018;382704;384414;386148;387912;389700;391518;393366;395244;397158;399108;401094;403116;405186;407298;409452;411660;413916;416226;418590;421014;423504;426054;428676;431370;434142;436992;439926;442950;446070;449286;452604;456030;459576;463242;467034;470958;475020;479232;483600
21;341346;343602;344202;345630;347052;348480;349908;351342;352782;354222;355662;357114;358572;360036;361512;362994;364482;365988;367500;369024;370566;372120;373692;375276;376878;378498;380142;381804;383484;385194;386922;388680;390468;392280;394122;396000;397908;399852;401832;403854;405918;408024;410172;412374;414624;416928;419286;421704;424182;426726;429342;432024;434784;437628;440550;443568;446670;449874;453186;456600;460134;463782;467556;471468;475518;479712;484062
22;342174;344430;345030;346452;347880;349308;350736;352164;353598;355038;356484;357930;359388;360852;362322;363804;365292;366792;368304;369828;371370;372918;374490;376068;377670;379290;380928;382584;384270;385974;387702;389454;391236;393042;394884;396756;398658;400602;402576;404592;406650;408750;410898;413088;415332;417630;419982;422388;424860;427398;430002;432678;435432;438264;441180;444180;447276;450468;453768;457170;460686;464322;468084;471978;476010;480192;484524
23;343002;345258;345852;347280;348702;350130;351558;352986;354420;355860;357300;358752;360204;361668;363138;364614;366102;367602;369114;370632;372168;373722;375282;376866;378462;380082;381714;383370;385050;386748;388476;390222;392004;393804;395640;397512;399408;401346;403320;405330;407382;409476;411612;413802;416040;418332;420672;423078;425544;428070;430668;433332;436080;438900;441804;444798;447882;451062;454344;457740;461244;464862;468612;472494;476508;480672;484986
24;343830;346080;346680;348102;349530;350952;352380;353808;355242;356682;358122;359568;361020;362484;363948;365430;366912;368412;369918;371436;372972;374520;376080;377658;379254;380868;382500;384156;385830;387528;389250;390996;392766;394572;396402;398262;400158;402090;404058;406062;408114;410202;412332;414516;416748;419028;421368;423762;426222;428742;431328;433986;436722;439536;442428;445410;448488;451656;454926;458304;461796;465408;469140;473004;477006;481152;485448
25;344658;346908;347508;348930;350352;351780;353202;354630;356064;357498;358938;360384;361836;363294;364764;366240;367722;369216;370722;372240;373776;375318;376878;378456;380046;381660;383286;384936;386610;388302;390024;391764;393534;395334;397158;399018;400908;402834;404796;406800;408840;410922;413052;415230;417456;419730;422058;424452;426900;429414;431994;434640;437370;440172;443058;446028;449088;452250;455508;458874;462354;465948;469668;473514;477498;481626;485910
26;345486;347736;348330;349752;351180;352602;354024;355452;356886;358320;359760;361200;362652;364110;365574;367050;368532;370026;371532;373044;374574;376116;377676;379248;380838;382446;384072;385722;387390;389082;390792;392532;394302;396096;397920;399774;401658;403584;405540;407532;409572;411648;413772;415938;418158;420432;422754;425136;427578;430080;432654;435294;438012;440802;443682;446640;449694;452838;456090;459444;462906;466488;470190;474024;477996;482106;486372
27;346314;348564;349158;350580;352002;353424;354852;356274;357708;359142;360576;362022;363468;364926;366390;367860;369342;370836;372336;373848;375378;376914;378474;380040;381630;383238;384858;386502;388170;389856;391566;393306;395064;396858;398676;400524;402408;404328;406278;408270;410298;412374;414492;416652;418866;421128;423444;425820;428256;430752;433314;435948;438654;441438;444306;447258;450294;453432;456666;460008;463458;467028;470718;474540;478494;482586;486834
28;347142;349392;349986;351408;352830;354252;355674;357096;358524;359958;361398;362838;364284;365742;367200;368670;370152;371640;373140;374652;376176;377718;379266;380838;382422;384024;385644;387288;388950;390630;392340;394074;395832;397620;399432;401280;403158;405072;407016;409002;411030;413094;415206;417366;419568;421824;424140;426504;428934;431418;433974;436602;439296;442074;444930;447870;450900;454026;457248;460578;464016;467568;471246;475050;478986;483066;487296
